sID,borough,type,siteCode,siteName,classification,easting,northing,latitude,longitude,pollutants,distance_to_exposute,distance_to_kerb,height,linked,startDate
WAAWA2,Wandsworth,AA,WA2,Wandsworth Town Hall,Urban Background,525779,174662,51.456972,-0.19103608,"NO2, O3",22,22,4.85,,
WAAWA7,Wandsworth,AA,WA7,Putney High Street,Kerbside,524035,175334,51.463396,-0.21588905,"NO2, PM10",1,0.5,1.75,,
WAAWA8,Wandsworth,AA,WA8,Putney High Street facade,Roadside,524032,175335,51.463406,-0.21593187,NO2,1,1,4.85,,
WAAWA9,Wandsworth,AA,WA9,"Felsham Road, Putney",Urban Background,524044,175495,51.464841,-0.21570313,"NO2, PM10",4.8,1,2.75,,
WAAWAA,Wandsworth,AA,WAA,"Thessaly Road, Battersea",Roadside,529137,177249,51.479466,-0.14178656,"NO2, PM10",7.5,1,1.75,,
WAAWAB,Wandsworth,AA,WAB,Tooting High Street,Roadside,527567,171628,51.429306,-0.16640766,"NO2, PM10",2,2,1.75,,
WAAWAC,Wandsworth,AA,WAC,"Lavander Hill, Clapham Junction",Roadside,527430,175454,51.463721,-0.16700085,"NO2, PM11",8,1,1.75,,
MAAME2,Merton,AA,ME2,"Merton Road, South Wimbledon",Roadside,525808,170122,51.416165,-0.19223043,PM10,3,0.6,1.6,,
MAAME9,Merton,AA,ME9,"Civic Centre, Morden",Roadside,525588,168498,51.401618,-0.19596695,NO2,0.6,3,2.5,,
RAARI1,Richmond upon Thames,AA,RI1,"Castlenau Library, Barnes",Roadside,522500,177166,51.480195,-0.23733982,"NO2, PM10",8,3.3,2.35,,
RAARI2,Richmond upon Thames,AA,RI2,"Wetland Centre, Barnes",Urban Background,522993,176731,51.476179,-0.23039536,"NO2,PM10, O3",10,482.52,3.2,,
RAATD5,Richmond upon Thames,AA,TD5,NPL Teddington AURN,Urban Background,515542,170420,51.421026,-0.33969216,"PM10, PM2.5, O3",2,13,12,,
