SiteCode,SiteName,Borough,Latitude,Longitude,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24,Jan-25,Feb-25,Mar-25,Apr-25,May-25
CLDP0131,All Saints,Merton,51.417854,-0.187127,,,,,,,,,24.9,25.3,31.6,30.1,41.2,24.0,37.7,24.8,17.6,16.6,16.5,18.8,22.6,24.9,25.2,34.4,31.3,35.2,20.5,23.3,16.9,17.7,13.5,14.8,23.3,26.3,29.4,23.5,33.8,25.1,26.5,14.5,19.9,14.4,15.9,14.2,23.4,25.5,36.9,,,,,,
CLDP0174,St Marys Primary School Russell Rd - Merton,Merton,51.417912,-0.200950,,,,,,,,,,,32.1,30.3,45.2,27.2,36.4,26.7,23.0,21.8,20.2,23.8,28.0,30.4,34.8,39.8,37.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0192,19th Wimbledon Scout Group,Merton,51.415268,-0.240949,,,,,,,,,,,,21.9,30.3,17.8,31.0,23.1,16.9,16.9,16.9,19.3,21.0,22.4,21.3,28.9,26.0,28.8,17.0,20.7,17.2,21.0,14.4,15.1,22.3,24.5,21.5,17.0,21.5,17.5,19.9,12.8,18.9,15.8,16.5,15.2,21.5,21.1,25.5,,,,,,
CLDP0212,Green Ln South,Merton,51.388702,-0.194933,,,,,,,,,,,,27.2,38.2,24.4,37.2,27.8,26.9,26.2,22.9,25.8,28.9,29.2,26.4,33.9,32.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0213,Church Rd,Merton,51.402424,-0.170179,,,,,,,,,,,,25.9,37.7,23.4,34.7,26.3,20.7,20.3,18.5,21.1,24.7,25.2,25.5,28.6,31.7,31.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0214,Weir Rd,Merton,51.430157,-0.190669,,,,,,,,,,,,27.0,41.5,29.5,34.8,25.8,22.8,20.7,20.1,21.0,23.4,26.7,30.7,39.4,41.9,39.4,28.0,27.5,18.1,16.1,15.6,16.6,22.6,21.9,27.4,25.1,31.1,24.6,26.0,15.9,21.4,19.5,18.3,19.4,21.9,23.9,,,,,,,
CLDP0215,St Marks Rd,Merton,51.406467,-0.161599,,,,,,,,,,,,25.1,38.5,25.5,32.7,24.4,20.3,19.6,18.0,20.7,23.4,26.3,27.6,34.0,20.6,,20.3,25.2,17.5,15.7,15.5,17.3,23.3,24.3,28.5,21.2,27.3,23.1,24.8,14.9,21.4,19.9,18.1,20.4,22.2,25.0,,,,,,,
CLDP0216,Endeavour Way,Merton,51.431763,-0.193188,,,,,,,,,,,,28.6,41.2,28.3,35.3,26.3,21.3,20.6,19.6,22.2,24.8,27.6,30.2,37.8,38.4,38.8,28.2,28.4,18.8,17.2,17.4,18.6,26.0,30.4,32.5,24.2,29.2,27.3,30.5,17.8,22.9,20.3,20.6,21.8,25.2,30.2,,,,,,,
CLDP0218,Beddington Ln,Merton,51.392315,-0.144719,,,,,,,,,,,,26.4,38.9,25.2,34.5,25.0,19.9,20.6,18.7,23.4,24.7,26.3,27.7,34.1,37.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLDP0219,London Rd,Merton,51.401249,-0.168370,,,,,,,,,,,,38.4,57.6,43.0,41.1,31.8,28.8,29.7,26.4,29.3,32.1,35.6,49.3,55.0,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
