site_code,borough,lat,lon,sensor_type,year,month,month_name,pollutant,value,date,averaging_period,site_name
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,1,Jan,NO2,42.3,2022-01,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,2,Feb,NO2,38.7,2022-02,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,3,Mar,NO2,35.2,2022-03,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,4,Apr,NO2,32.8,2022-04,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,5,May,NO2,29.4,2022-05,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,6,Jun,NO2,26.1,2022-06,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,7,Jul,NO2,24.8,2022-07,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,8,Aug,NO2,23.5,2022-08,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,9,Sep,NO2,27.2,2022-09,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,10,Oct,NO2,31.9,2022-10,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,11,Nov,NO2,36.4,2022-11,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,12,Dec,NO2,40.1,2022-12,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,1,Jan,PM2.5,18.2,2022-01,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,2,Feb,PM2.5,16.8,2022-02,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,3,Mar,PM2.5,15.3,2022-03,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,4,Apr,PM2.5,14.1,2022-04,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,5,May,PM2.5,12.7,2022-05,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,6,Jun,PM2.5,11.4,2022-06,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,7,Jul,PM2.5,10.8,2022-07,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,8,Aug,PM2.5,10.2,2022-08,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,9,Sep,PM2.5,12.1,2022-09,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,10,Oct,PM2.5,14.5,2022-10,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,11,Nov,PM2.5,17.2,2022-11,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,12,Dec,PM2.5,19.8,2022-12,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,1,Jan,PM10,25.4,2022-01,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,2,Feb,PM10,23.1,2022-02,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,3,Mar,PM10,21.8,2022-03,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,4,Apr,PM10,20.2,2022-04,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,5,May,PM10,18.7,2022-05,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,6,Jun,PM10,17.3,2022-06,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,7,Jul,PM10,16.5,2022-07,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,8,Aug,PM10,15.9,2022-08,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,9,Sep,PM10,17.8,2022-09,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,10,Oct,PM10,20.1,2022-10,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,11,Nov,PM10,23.4,2022-11,Month,W1
W1,Wandsworth,51.4571,-0.1911,Automatic,2022,12,Dec,PM10,26.7,2022-12,Month,W1
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,1,Jan,NO2,45.1,2022-01,Month,W2
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,2,Feb,NO2,41.3,2022-02,Month,W2
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,3,Mar,NO2,37.8,2022-03,Month,W2
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,4,Apr,NO2,34.2,2022-04,Month,W2
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,5,May,NO2,30.9,2022-05,Month,W2
W2,Wandsworth,51.4592,-0.1893,Automatic,2022,6,Jun,NO2,27.5,2022-06,Month,W2
