siteCode,siteName,borough,latitude,longitude,averaging_period,date,pollutant,value
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2011-01-01,PM10,26.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2011-08-01,PM10,18.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2011-09-01,PM10,25.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2011-10-01,PM10,29.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2011-11-01,PM10,35.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2011-12-01,PM10,20.7
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2012-01-01,PM10,29.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-01-01,PM10,27.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-02-01,PM10,38.5
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-03-01,PM10,39.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-04-01,PM10,22.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-05-01,PM10,31.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-06-01,PM10,23.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-07-01,PM10,20.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-08-01,PM10,25.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-09-01,PM10,22.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-10-01,PM10,29.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-11-01,PM10,34.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2012-12-01,PM10,33.0
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2013-01-01,PM10,31.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-01-01,PM10,39.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-02-01,PM10,39.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-03-01,PM10,46.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-04-01,PM10,33.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-05-01,PM10,23.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-06-01,PM10,24.4
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-07-01,PM10,26.6
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-08-01,PM10,24.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-09-01,PM10,29.5
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-10-01,PM10,26.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-11-01,PM10,29.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2013-12-01,PM10,33.3
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2014-01-01,PM10,29.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-01-01,PM10,30.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-02-01,PM10,25.3
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-03-01,PM10,37.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-04-01,PM10,31.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-05-01,PM10,25.5
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-06-01,PM10,24.2
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-07-01,PM10,22.9
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-08-01,PM10,18.8
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-09-01,PM10,38.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-10-01,PM10,27.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-11-01,PM10,38.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2014-12-01,PM10,23.8
ME2,"Merton Road, South Wimbledon",Merton,,,Year,2015-01-01,PM10,25.0
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2015-01-01,PM10,25.1
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2015-02-01,PM10,38.7
ME2,"Merton Road, South Wimbledon",Merton,,,Month,2015-03-01,PM10,36.7
